closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
            Luminary Sash |          5 |           Wardrobe 3 | RDM,BRD                                                                                  |                                                luminary sash
          Apogee Pumps +1 |          5 |           Wardrobe 5 | SMN                                                                                      |                                              apogee pumps +1
          Hashi. Bazu. +3 |          5 |            NOT FOUND | BLU                                                                                      |                                       hashishin bazubands +3
             Bunzi's Robe |          5 |           Wardrobe 5 | WHM,RDM,BRD                                                                              |                                                 Bunzi's robe
         Rune. Bandeau +3 |          5 |            Inventory | RUN                                                                                      |                                           runeist bandeau +3
            Creed Earring |          5 |            NOT FOUND | PLD                                                                                      |                                                creed earring
           Hes. Gloves +1 |          5 |            NOT FOUND | MNK                                                                                      |                                        hesychast's gloves +1
              Reiki Yotai |          5 |           Wardrobe 3 | COR,BLU,RDM,THF                                                                          |                                                  reiki yotai
                    Dunna |          5 |             Wardrobe | GEO                                                                                      |                                                        Dunna
             Taeon Gloves |          5 | Wardrobe 6, Wardrobe 6, Wardrobe 8 | BST,BLU,PUP                                                                              |                                                 taeon gloves
       Brioso Roundlet +3 |          5 |            NOT FOUND | BRD                                                                                      |                                           brioso roundlet +3
      Hashishin Mintan +3 |          5 |            NOT FOUND | BLU                                                                                      |                                          hashishin mintan +3
         Tatena. Sune. +1 |          5 |           Wardrobe 5 | RDM,SAM                                                                                  |                                        tatenashi sune-ate +1
          Bard's Charm +2 |          5 |           Wardrobe 3 | BRD                                                                                      |                                              bard's charm +2
          Hagondes Sabots |          5 |            NOT FOUND | RDM,SMN                                                                                  |                                              Hagondes sabots
           Hagondes Pants |          5 |            NOT FOUND | RDM,SMN                                                                                  |                                               Hagondes pants
           Laksa. Frac +4 |          5 |            NOT FOUND | COR                                                                                      |                                            laksamana frac +4
       Fili Hongreline +2 |          5 |            NOT FOUND | BRD                                                                                      |                                           fili hongreline +2
            Hetairoi Ring |          5 |            NOT FOUND | NIN,RDM,RUN                                                                              |                                                hetairoi ring
            Amalric Gages |          5 |           Wardrobe 5 | GEO,SCH                                                                                  |                                                amalric gages
           Solemnity Cape |          5 |            NOT FOUND | BLU,SCH,WAR                                                                              |                                               solemnity cape
      Heartseeker Earring |          5 |            NOT FOUND | BST,PLD                                                                                  |                                          heartseeker earring
         Otro. Harness +1 |          5 |            NOT FOUND | MNK                                                                                      |                                           otronif harness +1
          Vishap Brais +3 |          5 |            NOT FOUND | DRG                                                                                      |                                              vishap brais +3
          Viti. Tabard +3 |          5 |            NOT FOUND | RDM                                                                                      |                                          vitiation tabard +3
          Azimuth Coat +3 |          5 |            NOT FOUND | GEO                                                                                      |                                              azimuth coat +3
          Dudgeon Earring |          5 |            NOT FOUND | BST,PLD                                                                                  |                                              dudgeon earring
         Anch. Gaiters +1 |          5 |            NOT FOUND | MNK                                                                                      |                                       anchorite's gaiters +1
              Agwu's Robe |          5 |           Wardrobe 5 | GEO,BLM,SCH,RUN                                                                          |                                                  Agwu's robe
        Merlinic Crackows |          5 |           Wardrobe 6 | GEO,SCH,SMN                                                                              |                                            merlinic crackows
         Chironic Doublet |          5 |           Wardrobe 8 | SCH                                                                                      |                                             chironic doublet
           Twilight Cloak |          5 |            NOT FOUND | BLM,RDM,SCH                                                                              |                                               Twilight cloak
        Arbatel Bonnet +3 |          5 |            NOT FOUND | SCH                                                                                      |                                            arbatel bonnet +3
           Felistris Mask |          6 |            NOT FOUND | NIN,MNK                                                                                  |                                               felistris mask
             Lebeche Ring |          6 |           Wardrobe 4 | GEO,BLM,RDM,SCH                                                                          |                                                 lebeche ring
            Chironic Hose |          6 | Wardrobe 6, Wardrobe 8 | RDM,SCH                                                                                  |                                                chironic hose
              Ogma's Cape |          6 | Inventory, Inventory, Inventory, Inventory, Inventory, Inventory | RUN                                                                                      |                                                  Ogma's cape
            Evoker's Ring |          6 |           Wardrobe 4 | SMN                                                                                      |                                                evoker's ring
            Terminal Helm |          6 |            NOT FOUND | SAM                                                                                      |                                                terminal helm
           Rufescent Ring |          6 |            NOT FOUND | COR,BRD                                                                                  |                                               rufescent ring
        Pelt. Plackart +2 |          6 |            NOT FOUND | DRG                                                                                      |                                        peltast's plackart +2
               Otomi Helm |          6 |            NOT FOUND | PLD,SAM                                                                                  |                                                   otomi helm
           Orpheus's Sash |          6 |           Wardrobe 3 | COR,BLU,RNG,RDM,SAM                                                                      |                                               Orpheus's sash
            Living Bullet |          6 |            Inventory | COR                                                                                      |                                                living bullet
          Lifestream Cape |          6 |                 Sack | GEO                                                                                      |                                              lifestream cape
           Samnuha Tights |          6 |           Wardrobe 6 | BLU,RUN,THF,MNK                                                                          |                                               samnuha tights
           Magoraga Beads |          6 |            NOT FOUND | NIN,COR,RDM,RUN,MNK                                                                      |                                       Magoraga bead necklace
             Creed Collar |          6 |            NOT FOUND | PLD                                                                                      |                                                 creed collar
        Pel. Vambraces +2 |          6 |            NOT FOUND | DRG                                                                                      |                                       peltast's vambraces +2
             Olympus Sash |          6 |           Wardrobe 3 | RDM,RUN                                                                                  |                                                 olympus sash
          Rumination Sash |          6 |           Wardrobe 3 | RDM,RUN,BRD                                                                              |                                              rumination sash
             Buquwik Cape |          6 |            NOT FOUND | MNK                                                                                      |                                                 buquwik cape
      Futhark Trousers +3 |          6 |            Inventory | RUN                                                                                      |                                          futhark trousers +3
               Ryuo Tekko |          6 |            NOT FOUND | SAM                                                                                      |                                                   ryuo tekko
         Aurist's Cape +1 |          6 |           Wardrobe 4 | GEO,BLM,RDM                                                                              |                                             aurist's cape +1
          Gleti's Cuirass |          6 |           Wardrobe 5 | BST,DRG                                                                                  |                                              Gleti's cuirass
             Agwu's Slops |          6 |           Wardrobe 5 | GEO,BLM,SCH,RUN                                                                          |                                                 Agwu's slops
        Atrophy Tights +3 |          6 |            NOT FOUND | RDM                                                                                      |                                            atrophy tights +3
           Tantra Tathlum |          6 |            NOT FOUND | MNK                                                                                      |                                               tantra tathlum
       Theo. Duckbills +3 |          6 |            NOT FOUND | WHM                                                                                      |                                       theophany duckbills +3
      Sulev. Gauntlets +2 |          6 |            NOT FOUND | DRG                                                                                      |                                       Sulevia's gauntlets +2
            Sroda Earring |          6 |           Wardrobe 2 | DRG                                                                                      |                                                sroda earring
        Nahtirah Trousers |          6 |            NOT FOUND | NIN,COR,MNK                                                                              |                                            nahtirah trousers
        Andartia's Mantle |          6 |           Sack, Sack | NIN                                                                                      |                                            Andartia's mantle
            Fili Calot +2 |          6 |            NOT FOUND | BRD                                                                                      |                                                fili calot +2
          Hachirin-no-Obi |          6 |           Wardrobe 8 | COR,BLM,SCH                                                                              |                                              hachirin-no-obi
          Rev. Surcoat +3 |          6 |            NOT FOUND | PLD                                                                                      |                                         reverence surcoat +3
           Ghostfyre Cape |          6 |                 Sack | RDM                                                                                      |                                               ghostfyre cape
         Camulus's Mantle |          6 | Sack, Sack, Sack, Sack, Sack | COR,RDM                                                                                  |                                             Camulus's mantle
             Carmine Mask |          6 |           Wardrobe 5 | COR,BLU,RUN,PLD                                                                          |                                                 carmine mask
          Rosmerta's Cape |          6 | Sack, Sack, Sack, Sack | BLU                                                                                      |                                              Rosmerta's cape
           Regal Necklace |          6 |           Wardrobe 3 | COR                                                                                      |                                               regal necklace
               Mummu Ring |          6 |            NOT FOUND | RNG                                                                                      |                                                   Mummu ring
       Eri. Leg Guards +3 |          6 |            Inventory | RUN                                                                                      |                                         erilaz leg guards +3
          Gende. Galoshes |          6 |            NOT FOUND | WHM,BRD                                                                                  |                                          Gendewitha galoshes
                Null Loop |          6 |           Wardrobe 8 | NIN,BLU,RDM,WAR,MNK                                                                      |                                                    null loop
            Merciful Cape |          6 |           Wardrobe 4 | RUN                                                                                      |                                                merciful cape
                Impatiens |          6 |           Wardrobe 4 | NIN,RDM,MNK                                                                              |                                                    impatiens
        Chironic Slippers |          6 | Wardrobe 6, Wardrobe 8 | SCH                                                                                      |                                            chironic slippers
         Vanir Cotehardie |          7 |            NOT FOUND | WHM,SMN                                                                                  |                                             vanir cotehardie
          Toutatis's Cape |          7 |                 Sack | THF                                                                                      |                                              Toutatis's cape
          Agwu's Pigaches |          7 |           Wardrobe 5 | GEO,BLM,SCH,RUN                                                                          |                                              Agwu's pigaches
         Evanescence Ring |          7 |           Wardrobe 4 | GEO,RDM,RUN                                                                              |                                             evanescence ring
         C. Palug Earring |          7 |           Wardrobe 2 | SMN                                                                                      |                                           Cath Palug earring
         Kasuga Domaru +3 |          7 |            NOT FOUND | SAM                                                                                      |                                             kasuga domaru +3
         Ryuo Sune-Ate +1 |          7 |           Wardrobe 5 | SAM                                                                                      |                                             ryuo sune-ate +1
            Audumbla Sash |          7 |           Wardrobe 3 | RUN,WAR,PLD                                                                              |                                                Audumbla sash
          Arc. Braccae +3 |          7 |            NOT FOUND | RNG                                                                                      |                                          arcadian braccae +3
           Yaoyotl Gloves |          7 |            NOT FOUND | WHM,RDM,SMN                                                                              |                                               yaoyotl gloves
             Impulse Belt |          7 |           Wardrobe 3 | RNG,RDM                                                                                  |                                                 impulse belt
         Desultor Tassets |          7 |           Wardrobe 6 | BST,COR,PUP                                                                              |                                             desultor tassets
            Vim Torque +1 |          7 |           Wardrobe 3 | DRG                                                                                      |                                                vim torque +1
       Fili Manchettes +3 |          7 |            NOT FOUND | BRD                                                                                      |                                           fili manchettes +3
         Rep. Plat. Medal |          7 |           Wardrobe 8 | NIN,COR,BLU,RDM,WAR                                                                      |                                    republican platinum medal
              Eihwaz Ring |          7 |           Wardrobe 4 | RUN,PLD                                                                                  |                                                  eihwaz ring
             Yaoyotl Helm |          7 |            NOT FOUND | PLD                                                                                      |                                                 yaoyotl helm
       Lugalbanda Earring |          7 |           Wardrobe 2 | SMN                                                                                      |                                           Lugalbanda earring
             Luzaf's Ring |          7 |           Wardrobe 4 | COR                                                                                      |                                                 Luzaf's ring
             Taeon Tights |          7 | Wardrobe 6, Wardrobe 6, Wardrobe 6 | BST,BLU,PUP,RUN                                                                          |                                                 taeon tights
          Cryptic Earring |          7 |           Wardrobe 2 | NIN,RUN,PLD                                                                              |                                              cryptic earring
            Agoge Mask +3 |          7 |            NOT FOUND | WAR                                                                                      |                                                agoge mask +3
          Con. Doublet +3 |          7 |            NOT FOUND | SMN                                                                                      |                                        convoker's doublet +3
         Mnbw. Whistle +1 |          7 |           Wardrobe 3 | BRD                                                                                      |                                           moonbow whistle +1
            Crep. Earring |          7 |           Wardrobe 2 | GEO,WHM,PUP,SCH,WAR,PLD                                                                  |                                          crepuscular earring
           Genmei Earring |          7 |           Wardrobe 2 | COR,BLM,SCH,WAR,BRD                                                                      |                                               genmei earring
             Zoran's Belt |          7 |            NOT FOUND | PLD                                                                                      |                                                 Zoran's belt
            War. Beads +2 |          7 |            NOT FOUND | WAR                                                                                      |                                   warrior's bead necklace +2
         Rev. Leggings +1 |          7 |            NOT FOUND | PLD                                                                                      |                                        reverence leggings +1
        Fi Follet Cape +1 |          7 |           Wardrobe 4 | WHM,SCH                                                                                  |                                            fi follet cape +1
        Campestres's Cape |          7 |     Sack, Sack, Sack | SMN                                                                                      |                                            Campestres's cape
       Carmine Greaves +1 |          7 |           Wardrobe 5 | COR,BLU,RDM,RUN                                                                          |                                           carmine greaves +1
         Daihanshi Habaki |          7 |            NOT FOUND | NIN,MNK                                                                                  |                                             daihanshi habaki
        Atrophy Tabard +3 |          7 |            NOT FOUND | RDM                                                                                      |                                            atrophy tabard +3
        Visucius's Mantle |          7 |     Sack, Sack, Sack | PUP                                                                                      |                                            Visucius's mantle
       Brioso Slippers +3 |          7 |            NOT FOUND | BRD                                                                                      |                                           brioso slippers +3
              Gjallarhorn |          7 |             Wardrobe | BRD                                                                                      |                                                  Gjallarhorn
         Gendewitha Spats |          7 |            NOT FOUND | WHM,BRD                                                                                  |                                             Gendewitha spats
               Anu Torque |          7 |           Wardrobe 3 | BST,RUN,THF,MNK                                                                          |                                                   Anu torque
         Deviant Necklace |          7 |           Wardrobe 3 | BST,COR,RDM,RNG,THF                                                                      |                                             deviant necklace
              Archon Ring |          8 |           Wardrobe 4 | COR,BLU,BLM,RDM,SCH                                                                      |                                                  archon ring
        Wicce Chausses +2 |          8 |            NOT FOUND | BLM                                                                                      |                                            wicce chausses +2
              Ken. Hakama |          8 |            NOT FOUND | SAM                                                                                      |                                            kendatsuba hakama
         Adhemar Kecks +1 |          8 |           Wardrobe 5 | COR,RDM                                                                                  |                                             adhemar kecks +1
         Gleti's Breeches |          8 |           Wardrobe 5 | BST,DRG                                                                                  |                                             Gleti's breeches
       Windbuffet Belt +1 |          8 |           Wardrobe 3 | BST,GEO,WHM,NIN,RDM,SCH,THF                                                              |                                           windbuffet belt +1
        Pursuer's Gaiters |          8 |            NOT FOUND | RDM                                                                                      |                                            pursuer's gaiters
          Jhakri Cuffs +2 |          8 |            NOT FOUND | GEO,BLU,RDM                                                                              |                                              jhakri cuffs +2
               Armageddon |          8 |            NOT FOUND | RNG                                                                                      |                                                   Armageddon
             Gleti's Mask |          8 |           Wardrobe 5 | BST,DRG                                                                                  |                                                 Gleti's mask
        Rev. Gauntlets +1 |          8 |            NOT FOUND | PLD                                                                                      |                                       reverence gauntlets +1
              Siegel Sash |          8 |           Wardrobe 3 | WHM,RUN,SMN,BRD,PLD                                                                      |                                                  siegel sash
             Agwu's Gages |          8 |           Wardrobe 5 | GEO,BLM,SCH,RUN                                                                          |                                                 Agwu's gages
            Ea Houppe. +1 |          8 |           Wardrobe 8 | BLM,RDM                                                                                  |                                            Ea houppelande +1
              Vanya Slops |          8 |           Wardrobe 6 | GEO,WHM,BLM,SCH                                                                          |                                                  vanya slops
         Incarnation Sash |          8 |           Wardrobe 3 | BST,PUP,SMN                                                                              |                                             incarnation sash
       Nantosuelta's Cape |          8 |                 Sack | GEO                                                                                      |                                           Nantosuelta's cape
         Hecate's Earring |          8 |           Wardrobe 2 | WHM,COR,RUN,THF,MNK,SMN,PLD                                                              |                                             Hecate's earring
                  Gandiva |          8 |            NOT FOUND | RNG,RDM                                                                                  |                                                      Gandiva
        Telchine Pigaches |          8 | Wardrobe 6, Wardrobe 6 | GEO,BLM,SCH,BRD                                                                          |                                            telchine pigaches
        Adhemar Wrist. +1 |          8 |           Wardrobe 5 | NIN,RNG,RUN,THF,MNK                                                                      |                                        adhemar wristbands +1
        Adhemar Jacket +1 |          8 |           Wardrobe 5 | NIN,RNG,RDM,RUN,THF,MNK                                                                  |                                            adhemar jacket +1
       Beckoner's Horn +1 |          8 |            NOT FOUND | SMN                                                                                      |                                           beckoner's horn +1
           Carrier's Sash |          8 |            NOT FOUND | DRG,BLM,SCH                                                                              |                                               carrier's sash
        Asperity Necklace |          8 |               Locker | BST,MNK,SMN,PLD                                                                          |                                            asperity necklace
              Suppanomimi |          8 |           Wardrobe 2 | COR,BLU,RDM,THF                                                                          |                                                  suppanomimi
         Boii Calligae +1 |          8 |            NOT FOUND | WAR                                                                                      |                                             boii calligae +1
          Lanun Bottes +4 |          8 |            NOT FOUND | COR                                                                                      |                                              lanun bottes +4
          Pumm. Lorica +3 |          8 |            NOT FOUND | WAR                                                                                      |                                         pummeler's lorica +3
               Enki Strap |          8 |           Wardrobe 2 | GEO,BLM                                                                                  |                                                   Enki strap
         Enmerkar Earring |          9 |           Wardrobe 2 | BST,PUP,SMN                                                                              |                                             Enmerkar earring
        Adhemar Bonnet +1 |          9 |           Wardrobe 5 | NIN,RNG,RDM,RUN,THF,MNK                                                                  |                                            adhemar bonnet +1
             Taeon Tabard |          9 | Wardrobe 6, Wardrobe 6, Wardrobe 6 | BST,COR,BLU,PUP,RUN                                                                      |                                                 taeon tabard
            Yokaze Mantle |          9 |            NOT FOUND | NIN                                                                                      |                                                yokaze mantle
              Taeon Boots |          9 | Wardrobe 6, Wardrobe 6, Wardrobe 6 | BST,BLU,PUP,RUN                                                                          |                                                  taeon boots
           Orion Beret +2 |          9 |            NOT FOUND | RNG                                                                                      |                                               orion beret +2
           Sanare Earring |          9 |           Wardrobe 2 | BST,GEO,RDM,MNK,BRD                                                                      |                                               sanare earring
          Psycloth Lappas |          9 |           Wardrobe 5 | BLU,BLM,SMN                                                                              |                                              psycloth lappas
            Merlinic Hood |          9 |           Wardrobe 6 | GEO,BLM,SCH                                                                              |                                                merlinic hood
        Gorney Haubert +1 |          9 |            NOT FOUND | PLD                                                                                      |                                            Gorney haubert +1
           Sheltered Ring |          9 |            NOT FOUND | NIN,COR,MNK,PLD                                                                          |                                               sheltered ring
        Kasuga Haidate +3 |          9 |            NOT FOUND | SAM                                                                                      |                                            kasuga haidate +3
          Erilaz Galea +3 |          9 |            Inventory | RUN                                                                                      |                                              erilaz galea +3
       Mephitas's Ring +1 |          9 |           Wardrobe 4 | GEO,BLM,SCH                                                                              |                                           Mephitas's ring +1
          Runeist Coat +3 |          9 |            Inventory | RUN                                                                                      |                                              runeist coat +3
      Chasseur's Gants +3 |          9 |            NOT FOUND | COR                                                                                      |                                          chasseur's gants +3
             Gastraphetes |          9 |            NOT FOUND | RNG,RDM                                                                                  |                                                 Gastraphetes
         Thereoid Greaves |          9 |            NOT FOUND | RNG                                                                                      |                                             thereoid greaves
        Pumm. Calligae +3 |          9 |            NOT FOUND | WAR                                                                                      |                                       pummeler's calligae +3
          Leth. Fuseau +3 |          9 |            NOT FOUND | RDM                                                                                      |                                           lethargy fuseau +3
          Rev. Coronet +1 |          9 |            NOT FOUND | PLD                                                                                      |                                         reverence coronet +1
       Sulev. Leggings +2 |          9 |            NOT FOUND | DRG,WAR                                                                                  |                                        Sulevia's leggings +2
                Ea Hat +1 |          9 |           Wardrobe 8 | BLM,RDM                                                                                  |                                                    Ea hat +1
              Annihilator |          9 |            NOT FOUND | RNG,RDM                                                                                  |                                                  Annihilator
          Leth. Ganth. +2 |          9 |            NOT FOUND | RDM                                                                                      |                                       lethargy gantherots +2
           Dls. Torque +1 |          9 |           Wardrobe 3 | RDM                                                                                      |                                          duelist's torque +1
              Yetshila +1 |          9 |           Wardrobe 4 | NIN,WAR                                                                                  |                                                  Yetshila +1
             K'ayres Ring |          9 |            NOT FOUND | WHM,SMN,PLD                                                                              |                                                 k'ayres ring
                Fomalhaut |         10 |            Inventory | RNG                                                                                      |                                                    Fomalhaut
        Erilaz Greaves +3 |         10 |            Inventory | RUN                                                                                      |                                            erilaz greaves +3
       Enervating Earring |         10 |           Wardrobe 2 | COR,RNG,SAM                                                                              |                                           enervating earring
         Sancus Sachet +1 |         10 |           Wardrobe 4 | SMN                                                                                      |                                             sancus sachet +1
                 Fail-Not |         10 |            NOT FOUND | RNG                                                                                      |                                                     Fail-Not
       Darraigner's Brais |         10 |            NOT FOUND | RNG                                                                                      |                                           darraigner's brais
          Atheling Mantle |         10 |            NOT FOUND | BST,MNK,PLD                                                                              |                                              atheling mantle
        Fili Cothurnes +2 |         10 |            NOT FOUND | BRD                                                                                      |                                            fili cothurnes +2
          Herculean Boots |         10 | Wardrobe 6, Wardrobe 6, Wardrobe 6, Wardrobe 8 | NIN,BLU,RNG,RDM,RUN,THF,MNK                                                              |                                              herculean boots
             Erra Pendant |         10 |           Wardrobe 3 | GEO,BLM,RDM,SCH                                                                          |                                                 Erra pendant
               Chaac Belt |         11 |           Wardrobe 3 | NIN,COR,BLU,BLM,RNG,RDM,MNK,SAM                                                          |                                                   chaac belt
        Kasuga Earring +1 |         11 |           Wardrobe 2 | SAM                                                                                      |                                            kasuga earring +1
              Vanya Clogs |         11 | Wardrobe 6, Wardrobe 8 | GEO,WHM,BLM,RDM,SCH                                                                      |                                                  vanya clogs
          Shulmanu Collar |         11 |           Wardrobe 3 | BST,DRG,PUP                                                                              |                                              Shulmanu collar
          Rev. Surcoat +1 |         11 |            NOT FOUND | PLD                                                                                      |                                         reverence surcoat +1
             Ikenga's Hat |         11 |           Wardrobe 5 | COR,RNG                                                                                  |                                                 Ikenga's hat
        Leth. Houseaux +3 |         11 |            NOT FOUND | RDM                                                                                      |                                         lethargy houseaux +3
         Kasuga Kabuto +3 |         11 |            NOT FOUND | SAM                                                                                      |                                             kasuga kabuto +3
        Gleti's Gauntlets |         11 |           Wardrobe 5 | BST,DRG                                                                                  |                                            Gleti's gauntlets
             Yoichinoyumi |         11 |            NOT FOUND | RNG,SAM                                                                                  |                                                 Yoichinoyumi
            C. Palug Ring |         11 |           Wardrobe 4 | BST,PUP,SMN                                                                              |                                              Cath Palug ring
              Bunzi's Rod |         11 |             Wardrobe | GEO,BLM,RDM,SCH                                                                          |                                                  Bunzi's rod
         Lissome Necklace |         11 |           Wardrobe 3 | GEO,WHM,NIN,COR,BLM,RDM,SCH,THF,PLD                                                      |                                             lissome necklace
            Varar Ring +1 |         12 |           Wardrobe 4 | PUP,SMN                                                                                  |                                                varar ring +1
            Mimir Earring |         12 |           Wardrobe 2 | RDM,SCH,RUN,PLD                                                                          |                                                Mimir earring
          Tatena. Gote +1 |         12 |           Wardrobe 5 | WAR,SAM                                                                                  |                                            tatenashi gote +1
          Thurandaut Ring |         12 |            NOT FOUND | BST,SMN                                                                                  |                                              Thurandaut ring
           Telchine Chas. |         12 |           Wardrobe 6 | GEO,WHM,BLM,SCH                                                                          |                                            telchine chasuble
           Ikenga's Clogs |         12 |           Wardrobe 5 | COR,RNG                                                                                  |                                               Ikenga's clogs
          Plat. Mog. Belt |         12 |           Wardrobe 3 | BLU,RUN,THF,PLD,SAM                                                                      |                                         platinum moogle belt
       Carmine Cuisses +1 |         12 |           Wardrobe 5 | DRG,BLU,RNG,RDM,RUN                                                                      |                                           carmine cuisses +1
